run_id,detected_at_utc,sent_at_utc,sitrep_no,sitrep_date,page_url,pdf_url,pdf_sha256,pdf_file,email_status,note,title,post_url,pdf_path,status,sent_at,detected_at
,,,28,,,,,,sent_cloud,,DRC Ebola SitRep 28,https://insp.cd/sitrep-n28-mvb_11-06-2026/,Already sent locally before GitHub setup,sent_cloud,2026-06-12T23:10:59Z,
20260629_180930,2026-06-29 18:10:13,,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf,122a15ac6296926dd1ff8c05e0c605fd8f4612943145c3097264d3df66d897f1,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf,failed,"Erreur envoi SMTP curl. Sortie:
",,,,,,
20260629_183049,2026-06-29 18:31:32,,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf,122a15ac6296926dd1ff8c05e0c605fd8f4612943145c3097264d3df66d897f1,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf,failed,"Erreur envoi SMTP curl. Sortie:
",,,,,,
20260629_184344,2026-06-29 18:44:29,,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf,122a15ac6296926dd1ff8c05e0c605fd8f4612943145c3097264d3df66d897f1,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf,failed,"Erreur envoi SMTP curl. Sortie:
",,,,,,
20260629_194600,2026-06-29 19:46:44,,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf,122a15ac6296926dd1ff8c05e0c605fd8f4612943145c3097264d3df66d897f1,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf,failed,"Erreur envoi SMTP curl. Sortie:
",,,,,,
20260629_204730,2026-06-29 20:48:14,,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf,122a15ac6296926dd1ff8c05e0c605fd8f4612943145c3097264d3df66d897f1,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf,failed,"Erreur envoi SMTP Python. Sortie:
error in running command",,,,,,
20260629_210252,2026-06-29 21:03:36,,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf,122a15ac6296926dd1ff8c05e0c605fd8f4612943145c3097264d3df66d897f1,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf,failed,"Erreur envoi SMTP Python. Sortie:
PYTHON_SMTP_FATAL: ValueError('ALERT_CC est vide.')
Traceback (most recent call last):
  File ""/tmp/Rtmpd24KKy/preis_smtp_sender_304823060cda.py"", line 136, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/tmp/Rtmpd24KKy/preis_smtp_sender_304823060cda.py"", line 85, in main
    require_email_list(alert_cc, 'ALERT_CC')
  File ""/tmp/Rtmpd24KKy/preis_smtp_sender_304823060cda.py"", line 50, in require_email_list
    raise ValueError(f'{name} est vide.')
ValueError: ALERT_CC est vide.
",,,,,,
20260629_211846,2026-06-29 21:19:35,2026-06-29 21:19:35,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf,122a15ac6296926dd1ff8c05e0c605fd8f4612943145c3097264d3df66d897f1,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf,sent,Email sent successfully.,,,,,,
20260701_070452,2026-07-01 07:05:58,,46,2026-06-29,https://insp.cd/sitrep-n046-mvb_29-06-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft-SitRep_MVE_RDC_NAÂ°046_29_06_2026_PAZ.pdf,,,failed,PDF download failed for SitRep N46,,,,,,
20260701_084431,2026-07-01 08:45:26,,46,2026-06-29,https://insp.cd/sitrep-n046-mvb_29-06-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft-SitRep_MVE_RDC_NAÂ°046_29_06_2026_PAZ.pdf,9af0c935b812e3508bc7e3109d10e534facf01e529b81efa9703cf2ec200c8b8,/home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_046.pdf,failed,"Erreur envoi SMTP Python. Sortie:
PYTHON_SMTP_FATAL: SMTPDataError(552, b'5.7.0 This message was blocked because its content presents a potential\n5.7.0 security issue. To review our message content and attachment content\n5.7.0 guidelines, go to\n5.7.0  https://support.google.com/mail/?p=BlockedMessage 46e09a7af769-7e9f328636dsm3381938a34.9 - gsmtp')
Traceback (most recent call last):
  File ""/tmp/Rtmpd2nxcg/preis_smtp_sender_336e2ba17502.py"", line 134, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/tmp/Rtmpd2nxcg/preis_smtp_sender_336e2ba17502.py"", line 119, in main
    server.send_message(msg, from_addr=alert_from, to_addrs=recipients)
  File ""/usr/lib/python3.12/smtplib.py"", line 975, in send_message
    return self.sendmail(from_addr, to_addrs, flatmsg, mail_options,
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/lib/python3.12/smtplib.py"", line 897, in sendmail
    raise SMTPDataError(code, resp)
smtplib.SMTPDataError: (552, b'5.7.0 This message was blocked because its content presents a potential\n5.7.0 security issue. To review our message content and attachment content\n5.7.0 guidelines, go to\n5.7.0  https://support.google.com/mail/?p=BlockedMessage 46e09a7af769-7e9f328636dsm3381938a34.9 - gsmtp')

SMTP host: smtp.gmail.com
SMTP port: 465
SMTP user: SMTP_USER
Recipients: raogoz@africacdc.org
Attachment: /home/runner/work/PREIS_Ebola_DRC_Sitrep/PREIS_Ebola_DRC_Sitrep/data/pdf/PREIS_DRC_Ebola_SitRep_046.pdf",,,,,,
