sitrep_no,cfr,cas_cumules,deces_cumules,suspects,nouveaux_cas,date,nouveaux_cas_calc,nouveaux_deces,var_cas,moy_mobile_cas
1,50,8,4,246,NA,2026-05-14,NA,NA,NA,NA
2,30.8,13,4,246,5,2026-05-17,5,0,5,5
4,12.1,33,4,516,NA,2026-05-18,NA,NA,NA,5
5,7.8,51,4,575,18,2026-05-19,18,0,18,11.5
6,9.4,64,6,671,13,2026-05-20,13,2,13,15.5
7,10.8,83,9,746,19,2026-05-21,19,3,19,16.666666666666668
8,11,91,10,867,8,2026-05-22,8,1,8,13.333333333333334
9,9.9,101,10,904,10,2026-05-23,10,0,10,12.333333333333334
10,9.5,105,10,906,4,2026-05-24,4,0,4,7.333333333333333
11,11.3,106,12,998,1,2026-05-25,1,2,1,5
12,14,121,17,1077,15,2026-05-26,15,5,15,6.666666666666667
13,13.6,125,17,906,4,2026-05-27,4,0,4,6.666666666666667
14,8.1,210,17,349,85,2026-05-28,85,0,85,34.666666666666664
15,16,263,42,349,53,2026-05-29,53,25,53,47.333333333333336
17,15,321,48,220,NA,2026-05-31,NA,NA,NA,69
18,14.3,322,46,289,1,2026-06-01,1,-2,1,27
19,17.1,363,62,206,41,2026-06-02,41,16,41,21
21,18.1,452,82,153,NA,2026-06-04,NA,NA,NA,21
22,17.6,488,86,119,36,2026-06-05,36,4,36,38.5
23,17.7,515,91,117,27,2026-06-06,27,5,27,31.5
24,18.4,550,101,94,35,2026-06-07,35,10,35,32.666666666666664
25,19.2,598,115,138,48,2026-06-08,48,14,48,36.666666666666664
30,23.1,782,181,136,NA,2026-06-13,NA,NA,NA,41.5
57,35.9,1873,672,NA,NA,2026-07-10,NA,NA,NA,48
59,36.6,1963,718,NA,NA,2026-07-12,NA,NA,NA,NA
60,37.5,2011,754,NA,48,2026-07-13,48,36,48,48
61,38.4,2073,796,NA,62,2026-07-13,62,42,62,55
62,39,2124,828,NA,51,2026-07-13,51,32,51,53.666666666666664
